fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220910 195831	-0.221604426907542	2212.07494501201	999.921500835069	14	5	18693333.3333333	63
20220910 195842	-0.602436215005852	990.286908585174	117.295613814988	7	5	21160000	64
20220910 195852	-0.125154770709993	1063.12051230732	531.183112203253	6	5	20306666.6666667	65
20220910 195904	-0.828487282768036	556.470051901998	277.930249629542	7	5	21373333.3333333	66
20220910 195911	-0.118985070161398	826.688228969589	63.8893027073284	3	5	18346666.6666667	67
20220910 195931	-0.656745118463904	1115.40290677204	104.385887631722	16	5	21160000	68
20220910 195945	-0.204539721297311	3037.92148731807	815.077996860849	7	5	19226666.6666667	69
20220910 200001	-0.377186519205806	4214.7897482718	473.385504849781	15	5	19226666.6666667	70
20220910 200012	-0.650570821452689	4327.65971041411	999.616481321801	7	5	18960000	71
20220910 200024	-0.383634083831261	765.383106058054	87.8432688882767	7	5	22146666.6666667	72
20220910 200046	-0.870083890476017	913.676373687907	114.357584647888	20	5	20773333.3333333	73
20220910 200057	-0.898819174519498	1062.3258743664	401.339833344112	7	5	21360000	74
20220910 200109	-0.781897771736919	1037.29858611021	169.080821224169	7	5	21786666.6666667	75
20220910 200123	-0.855580094099674	4999.47122378824	999.035859945385	20	5	18680000	76
20220910 200133	-0.838786565172849	4997.18915042721	557.794472921512	6	5	18733333.3333333	77
20220910 200147	-0.121195807915585	4996.03664023998	999.754464426635	20	5	18600000	78
20220910 200201	-0.911133707997619	772.325495329619	102.343539189929	10	5	21373333.3333333	79
20220910 200220	-0.217504213989037	4998.39709415424	68.8433611076965	18	5	17840000	80
20220910 200239	-0.614141734452201	4998.10117793838	76.4233375998859	20	5	17280000	81
20220910 200249	-0.50266711929962	3642.88979458507	612.471949510137	7	5	18920000	82
20220910 200302	-0.832754299377446	999.756068026613	301.694248524237	9	5	21200000	83
20220910 200313	-0.143470031419798	898.077904593732	3.21277963896412	7	5	20866666.6666667	84
20220910 200324	-0.355707904286293	953.078298356845	88.8938762904706	7	5	21466666.6666667	85
20220910 200336	-0.224604429471461	719.859469661788	77.9196521343191	8	5	22893333.3333333	86
20220910 200350	-0.234410645774119	870.915395018631	86.7177633828831	10	5	21226666.6666667	87
20220910 200403	-0.262069556801098	4079.07443160746	999.819057776737	20	5	18800000	88
20220910 200418	-0.633656739886077	1101.68891930036	550.716592300695	12	5	20013333.3333333	89
20220910 200430	-0.213531355212971	494.697308554621	34.7021010719548	7	5	22080000	90
20220910 200447	-0.738573051054244	21.1415640209307	10.2393252624264	13	5	14440000	91
20220910 200501	-0.999904425851804	4995.21187585203	771.364502493527	13	5	18826666.6666667	92
20220910 200512	-0.238658250281795	4999.7208043008	765.273911635767	8	5	18520000	93
20220910 200524	-0.226205063974537	801.85178105081	271.363555249366	8	5	21173333.3333333	94
20220910 200536	-0.412728974201881	999.646965066409	71.9832852584672	8	5	22440000	95
20220910 200548	-0.0800933970471641	3873.01852857394	999.481773112846	8	5	19266666.6666667	96
20220910 200557	-0.227102606614082	4379.10427617032	31.2808206233295	6	5	18280000	97
20220910 200613	-0.397057432335951	1441.71293601316	719.490845923698	16	5	19040000	98
20220910 200625	-0.0859280624929282	137.667412864535	67.0890791372264	8	5	21826666.6666667	99
20220910 200639	-0.0811835562095882	2010.20060491675	998.022645387179	20	5	18786666.6666667	100
20220910 200655	-0.935680888860681	3913.95418463705	568.302544177223	17	5	19146666.6666667	101
20220910 200705	-0.998611097312707	2016.27452684642	999.666734032824	6	5	18666666.6666667	102
20220910 200715	-0.814920348261295	2221.36882463723	543.137643837584	6	5	20653333.3333333	103
20220910 200730	-0.938304639062573	2010.44789410608	999.81382885871	20	5	18666666.6666667	104
20220910 200737	-0.698769012730677	4998.69114026996	1.34057748031012	3	5	16946666.6666667	105
20220910 200800	-0.698516643421256	1854.14695083615	6.05986226812024	20	5	19106666.6666667	106
20220910 200815	-0.639383066973841	3707.62040833839	58.4265588092677	12	5	19093333.3333333	107
20220910 200829	-0.640931116342584	4997.53350753649	882.986533367499	20	5	19186666.6666667	108
20220910 200841	-0.9996711755202	4998.26886642527	301.590400769824	6	5	19200000	109
20220910 200853	-0.866659869913383	729.917925255876	15.1710035433957	7	5	21413333.3333333	110
20220910 200906	-0.221715930222391	767.445266529226	69.1471675252299	8	5	22960000	111
20220910 200919	-0.205214843005934	739.596996982221	64.8101595158613	8	5	22373333.3333333	112
20220910 200931	-0.656591195791356	1220.19114209169	59.7059020821625	7	5	22373333.3333333	113
20220910 200946	-0.8103726609095	2849.74650152125	859.329461492631	20	5	18826666.6666667	114
20220910 201001	-0.476293240243265	4994.64147030996	525.777254172938	20	5	18893333.3333333	115
20220910 201008	-0.552964019036949	4998.39238892708	997.771277962219	3	5	17866666.6666667	116
